time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-22T21:33:20.241Z,-60.2914,-24.8953,14,7.1,mww,,32,9.788,0.43,us,us6000f9sq,2021-08-24T19:36:40.437Z,South Sandwich Islands region,earthquake,9.8,1.8,0.046,46,reviewed,us,us
2021-08-22T00:45:08.217Z,-60.1218,-24.3444,11,6.8,mww,,46,8.804,0.9,us,us6000f9gd,2021-08-23T18:52:07.040Z,South Sandwich Islands region,earthquake,8.8,1.7,0.042,54,reviewed,us,us
2021-08-18T10:10:04.961Z,-14.8584,167.1048,89.45,6.9,mww,,31,0.592,0.97,us,us6000f7vg,2021-08-19T10:16:17.128Z,"20 km N of Port-Olry, Vanuatu",earthquake,7.9,3.7,0.053,34,reviewed,us,us
2021-08-16T11:10:36.568Z,-58.3686,-23.3552,16.61,6.9,mww,,48,8.363,0.71,us,us6000f6wt,2021-08-29T05:55:33.018Z,South Sandwich Islands region,earthquake,8.9,3.5,0.036,73,reviewed,us,us
2021-08-14T12:29:08.422Z,18.4079,-73.4753,10,7.2,mww,,23,1.174,0.73,us,us6000f65h,2021-08-26T23:03:05.816Z,"Nippes, Haiti",earthquake,5.8,1.8,0.031,97,reviewed,us,us
2021-08-14T11:57:43.715Z,55.2228,-157.6891,21.43,6.9,mww,,56,1.156,0.61,us,us6000f652,2021-08-26T01:27:11.397Z,"119 km SE of Perryville, Alaska",earthquake,5.5,2.8,0.024,162,reviewed,us,us
2021-08-12T18:36:59.727Z,-59.9811,-26.4306,35,6.7,mb,,76,7.903,1.23,us,us6000f8yd,2021-08-27T22:48:48.040Z,South Sandwich Islands region,earthquake,5.9,1.9,0.105,38,reviewed,us,us
2021-08-12T18:35:20.989Z,-58.4513,-25.327,55.73,8.1,mww,,77,7.47,0.64,us,us6000f53e,2021-08-27T23:05:49.082Z,South Sandwich Islands region,earthquake,9.2,4.6,0.033,86,reviewed,us,us
2021-08-12T18:32:52.464Z,-57.5674,-25.0316,47.23,7.5,mww,,38,7.227,1.16,us,us6000f4ly,2021-08-27T22:34:25.765Z,South Sandwich Islands region,earthquake,9.7,4.5,0.063,24,reviewed,us,us
2021-08-11T17:46:13.334Z,6.4787,126.7082,56.74,7.1,mww,,25,1.265,1.28,us,us6000f48v,2021-08-26T15:45:35.775Z,"60 km ENE of Pondaguitan, Philippines",earthquake,6.8,3.9,0.045,47,reviewed,us,us
2021-07-29T06:15:49.188Z,55.3635,-157.8876,35,8.2,mww,,,,0.95,ak,ak0219neiszm,2021-08-26T06:25:59.963Z,"99 km SE of Perryville, Alaska",earthquake,,0,,,reviewed,ak,ak
2021-07-23T20:48:57.363Z,13.7053,120.7266,110,6.7,mww,,12,8.139,0.98,us,us6000eyfk,2021-08-25T18:06:34.844Z,"15 km S of Hukay, Philippines",earthquake,7.1,1.8,0.051,37,reviewed,us,us
2021-07-21T21:15:12.269Z,7.3924,-82.7793,10,6.7,mww,,61,1.395,0.62,us,us6000exs5,2021-08-24T22:10:35.642Z,"71 km S of Punta de Burica, Panama",earthquake,7.7,1.8,0.038,68,reviewed,us,us
2021-06-20T17:05:50.681Z,-30.2162,-177.8449,25,6.5,mww,,24,7.994,1.1,us,us7000eeq4,2021-08-27T18:57:53.040Z,"Kermadec Islands, New Zealand",earthquake,8.9,1.5,0.045,47,reviewed,us,us
2021-05-21T22:13:18.379Z,-16.6009,-177.3725,10,6.5,mww,,44,4.518,0.96,us,us7000e579,2021-07-31T22:08:15.040Z,"265 km SSE of Alo, Wallis and Futuna",earthquake,7.3,1.4,0.061,26,reviewed,us,us
2021-05-21T18:04:13.565Z,34.5983,98.2513,10,7.3,mww,,9,4.655,0.77,us,us7000e54r,2021-08-10T16:09:57.642Z,"Southern Qinghai, China",earthquake,3,1.7,0.037,71,reviewed,us,us
2021-05-19T00:42:19.688Z,-33.0647,-109.3943,10,6.7,mww,,31,5.884,0.95,us,us7000e4aw,2021-07-24T21:08:06.040Z,southern East Pacific Rise,earthquake,10.5,1.7,0.083,14,reviewed,us,us
2021-05-14T06:33:07.879Z,0.1364,96.6442,11,6.7,mww,,37,1.487,0.69,us,us7000e2zt,2021-07-24T21:06:47.040Z,"260 km S of Sinabang, Indonesia",earthquake,7.7,1.8,0.048,42,reviewed,us,us
2021-05-12T14:05:15.667Z,-17.3874,66.3135,10,6.7,mww,,45,10.669,0.68,us,us7000e2ec,2021-07-23T18:08:35.040Z,Mauritius - Reunion region,earthquake,8.2,1.7,0.036,75,reviewed,us,us
2021-05-01T01:27:27.215Z,38.1997,141.5973,43,6.9,mww,,35,2.619,0.82,us,us7000dz5t,2021-07-10T20:14:46.040Z,,earthquake,7.3,1.9,0.041,58,reviewed,us,us
2021-04-25T22:28:02.196Z,-21.6097,-177.1526,246,6.5,mww,,20,5.931,0.9,us,us6000e4rl,2021-07-07T18:35:08.040Z,"207 km WSW of Haveluloto, Tonga",earthquake,8,1.7,0.038,68,reviewed,us,us
2021-04-24T00:23:38.164Z,-18.9036,-176.2702,301,6.5,mww,,19,10.405,0.85,us,us6000e47c,2021-07-07T18:34:08.040Z,"225 km WNW of Pangai, Tonga",earthquake,8.8,1.9,0.06,27,reviewed,us,us
2021-04-03T01:16:39.455Z,-58.0139,-7.843,10,6.6,mww,,37,12.742,1.2,us,us6000dynd,2021-06-12T21:36:43.040Z,east of the South Sandwich Islands,earthquake,9.8,1.7,0.05,39,reviewed,us,us
2021-03-20T09:09:43.966Z,38.4515,141.6477,43,7,mww,,35,2.378,0.75,us,us7000dl6y,2021-07-22T16:34:06.850Z,"30 km E of Ishinomaki, Japan",earthquake,7.2,1.9,0.045,47,reviewed,us,us
2021-03-16T18:38:21.233Z,54.7368,163.1803,13.23,6.6,mww,,18,3.183,0.81,us,us7000djz6,2021-05-26T22:08:11.040Z,"171 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,6.5,2.6,0.052,36,reviewed,us,us
2021-03-04T23:12:59.962Z,-28.5168,-176.6801,24,6.5,mwb,,25,11.764,0.64,us,us7000dfq2,2021-05-13T22:45:50.040Z,Kermadec Islands region,earthquake,8.9,1.8,0.071,19,reviewed,us,us
2021-03-04T19:28:33.178Z,-29.7228,-177.2794,28.93,8.1,mww,,21,0.739,0.69,us,us7000dflf,2021-06-24T14:48:36.243Z,"Kermadec Islands, New Zealand",earthquake,7.7,3.3,0.034,81,reviewed,us,us
2021-03-04T17:41:23.370Z,-29.6768,-177.8398,43,7.4,mww,,30,0.437,1.09,us,us7000dfk3,2021-05-13T22:45:25.040Z,"Kermadec Islands, New Zealand",earthquake,7.8,1.9,0.049,40,reviewed,us,us
